item,subScale,subScaleNum,question
1,extraversion,1,
2,agreeableness,2,
3,conscientiousness,3,
4,neuroticism,4,
5,openness,5,
6,extraversion,1,
7,agreeableness,2,
8,conscientiousness,3,
9,neuroticism,4,
10,openness,5,
