Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1729781500894,24/10/2024 14:51:40,1729767100894,-4,24/10/2024 06:51:40,183710,7,task-wzw3,,40890157,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1958x1101,1957x921,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729781509863,24/10/2024 14:51:49,1729767109863,-4,24/10/2024 06:51:49,183710,7,task-wzw3,,40890157,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1958x1101,1957x921,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,8973.36,8970.560000000001,8973.36,8973.36,8970.560000000001,8973.36,1,8973.36,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1729782394535,24/10/2024 15:06:34,1729767994535,-4,24/10/2024 07:06:34,183710,7,task-wzw3,,40890157,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1708x960,1707x803,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,884674.8,884668.76,884674.8,884674.8,884668.76,884674.8,1,884674.8,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1729782398748,24/10/2024 15:06:38,1729767998748,-4,24/10/2024 07:06:38,183710,7,task-wzw3,,40890157,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1708x960,1707x803,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response, 5711,4069.100000000093,4202.520000000019,4219.040000000037,4069.100000000093,4202.520000000019,4219.040000000037,1,4069.100000000093,149.93999999994412,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1729782398749,24/10/2024 15:06:38,1729767998749,-4,24/10/2024 07:06:38,183710,7,task-wzw3,,40890157,nbh95l6d,11931864,,complete,njqrmt,,computer,Desktop or Laptop,Windows 10,Firefox 131.0,1708x960,1707x803,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,897844,,,,0,,,,,,,,,,
1,1729782995895,24/10/2024 15:16:35,1729768595895,-4,24/10/2024 07:16:35,183710,7,task-wzw3,,40890866,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1729783008046,24/10/2024 15:16:48,1729768608046,-4,24/10/2024 07:16:48,183710,7,task-wzw3,,40890866,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,12154.500000023841,12151.3,12154.500000023841,12154.500000023841,12151.3,12154.500000023841,1,12154.500000023841,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1729783749372,24/10/2024 15:29:09,1729769349372,-4,24/10/2024 07:29:09,183710,7,task-wzw3,,40890866,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,741327.9,741321.9,741327.9,741327.9,741321.9,741327.9,1,741327.9,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1729783753622,24/10/2024 15:29:13,1729769353622,-4,24/10/2024 07:29:13,183710,7,task-wzw3,,40890866,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,7562,1903.0999999999767,4254.599999999977,4257.099999976112,1903.0999999999767,4254.599999999977,4257.099999976112,1,1903.0999999999767,2353.999999976135,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1729783753622,24/10/2024 15:29:13,1729769353622,-4,24/10/2024 07:29:13,183710,7,task-wzw3,,40890866,rsc1ds92,11932074,,complete,vkqfuc,,computer,Desktop or Laptop,Windows 10,Chrome 130.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance A) (Exp2),8,A_1AlexExt_2PatInt,chat2,chat2,,,,,,info,END,,,757719,,,,0,,,,,,,,,,
