Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1723249167463,10/08/2024 00:19:27,1723249167021,-7,09/08/2024 17:19:27,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1528x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,BEGIN QUESTIONNAIRE,
2,1723249225976,10/08/2024 00:20:25,1723249225123,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-alex,Disagree
3,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-alex-quantised,2
4,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-pat,Disagree
5,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,similar-pat-quantised,2
6,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-alex,Agree
7,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-alex-quantised,4
8,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-pat,Agree
9,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,enjoy-pat-quantised,4
10,1723249226172,10/08/2024 00:20:26,1723249225124,-7,09/08/2024 17:20:25,183710,5,questionnaire-wcll,,39481764,wbek67gd,11566074,,complete,mfaqap,,computer,Desktop or Laptop,Windows 10,Edge 127.0.0.0,1536x864,1513x714,,,,Overall Bot Questionnaire: Alex then Pat,1,A_1AlexExt_2PatInt,No,distant-alex,Disagree
