Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
19,1700588161051,21/11/2023 17:36:01,1700588160119,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-4-quantised,3
20,1700588161051,21/11/2023 17:36:01,1700588160119,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-5,5. Agree a little
21,1700588161051,21/11/2023 17:36:01,1700588160119,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-5-quantised,5
22,1700588161051,21/11/2023 17:36:01,1700588160119,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-6,6. Agree moderately
23,1700588161244,21/11/2023 17:36:01,1700588160119,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-6-quantised,6
24,1700588161244,21/11/2023 17:36:01,1700588160120,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-7,5. Agree a little
25,1700588161244,21/11/2023 17:36:01,1700588160120,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-7-quantised,5
26,1700588161244,21/11/2023 17:36:01,1700588160120,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-8,2. Disagree moderately
27,1700588161244,21/11/2023 17:36:01,1700588160121,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-8-quantised,2
28,1700588161244,21/11/2023 17:36:01,1700588160121,-8,21/11/2023 09:36:00,132936,24,questionnaire-mcfk,,33107617,5sbtf6p0,9804092,,complete,tcqzve,,computer,Desktop or Laptop,Windows 10,Chrome 119.0.0.0,1920x1080,1903x919,,,,BFI10,3,AB,2,No,response-9,5. Agree a little
