Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1725655576560,06/09/2024 20:46:16,1725637576560,-5,06/09/2024 10:46:16,183710,6,task-n6lp,,39929174,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1725655579045,06/09/2024 20:46:19,1725637579045,-5,06/09/2024 10:46:19,183710,6,task-n6lp,,39929174,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,766694.3,766694.3,766694.3,766694.3,766694.3,766694.3,1,766694.3,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1725656306816,06/09/2024 20:58:26,1725638306816,-5,06/09/2024 10:58:26,183710,6,task-n6lp,,39929174,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,727771.3,727771.3,727771.3,727771.3,727771.3,727771.3,1,727771.3,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1725656308732,06/09/2024 20:58:28,1725638308732,-5,06/09/2024 10:58:28,183710,6,task-n6lp,,39929174,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,8752,1584.7999999998137,1916.6999999999534,1916.6999999999534,1584.7999999998137,1916.6999999999534,1916.6999999999534,1,1584.7999999998137,331.9000000001397,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1725656308734,06/09/2024 20:58:28,1725638308734,-5,06/09/2024 10:58:28,183710,6,task-n6lp,,39929174,6v88o275,11672647,,complete,floked,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1920x1080,1920x911,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1725726233016,07/09/2024 16:23:53,1725701033016,-7,07/09/2024 02:23:53,183710,6,task-n6lp,,39938449,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1725726237998,07/09/2024 16:23:57,1725701037998,-7,07/09/2024 02:23:57,183710,6,task-n6lp,,39938449,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 2,o6hbif,1,continue,,786381.3,786381.3,786381.3,786381.3,786381.3,786381.3,1,786381.3,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1725726966653,07/09/2024 16:36:06,1725701766653,-7,07/09/2024 02:36:06,183710,6,task-n6lp,,39938449,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,chat2,Screen 1,xvlh72,2,continue,,728660.5999999999,728660.5999999999,728660.5999999999,728660.5999999999,728660.5999999999,728660.5999999999,1,728660.5999999999,0,0,,Click To Continue,Completed button,2,object-74,chat2,
4,1725726974413,07/09/2024 16:36:14,1725701774413,-7,07/09/2024 02:36:14,183710,6,task-n6lp,,39938449,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,1,completionCode2,Screen 1,vdaeaw,1,response,4497,2883.3000000000466,7749.90000000014,7749.90000000014,2883.3000000000466,7749.90000000014,7749.90000000014,1,2883.3000000000466,4866.600000000093,0,,Single Text Entry,Single Text Entry,1,object-84,completionCode2,
5,1725726974414,07/09/2024 16:36:14,1725701774414,-7,07/09/2024 02:36:14,183710,6,task-n6lp,,39938449,fyhookof,11674631,,complete,dmpzjl,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,1920x1080,1663x903,,,0,Task (Counterbalance B) (Exp2),6,B_1PatExt_2AlexInt,chat2,chat2,,,,,,info,END,,,,,,,0,,,,,,,,,,
