Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
3,1706884892029,02/02/2024 14:41:32,1706866892029,-5,02/02/2024 04:41:32,163181,2,task-5xl3,,34735315,zar1ffxq,10269900,,complete,cezded,,computer,Desktop or Laptop,Windows 10,Firefox 122.0,1280x1024,1280x871,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706884918369,02/02/2024 14:41:58,1706863318369,-6,02/02/2024 02:41:58,163181,2,task-5xl3,,34735367,y1o880v5,10269912,,complete,ylnero,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706884923453,02/02/2024 14:42:03,1706863323453,-6,02/02/2024 02:42:03,163181,2,task-5xl3,,34735367,y1o880v5,10269912,,complete,ylnero,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,9266.800000011921,9254.2,9266.800000011921,9266.800000011921,9254.2,9266.800000011921,1,9266.800000011921,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706884923458,02/02/2024 14:42:03,1706863323458,-6,02/02/2024 02:42:03,163181,2,task-5xl3,,34735367,y1o880v5,10269912,,complete,ylnero,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1366x768,1366x599,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,AB,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706885009532,02/02/2024 14:43:29,1706867009532,-5,02/02/2024 04:43:29,163181,2,task-5xl3,,34735450,gszx8vtq,10269942,,complete,auwjcg,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1080,1703x814,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706885297070,02/02/2024 14:48:17,1706867297070,-5,02/02/2024 04:48:17,163181,2,task-5xl3,,34735450,gszx8vtq,10269942,,complete,auwjcg,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1080,1703x814,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,287545.7440000477,287533.644,287545.7440000477,287545.7440000477,287533.644,287545.7440000477,1,287545.7440000477,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706885297072,02/02/2024 14:48:17,1706867297072,-5,02/02/2024 04:48:17,163181,2,task-5xl3,,34735450,gszx8vtq,10269942,,complete,auwjcg,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,2560x1080,1703x814,,,0,Task (Counterbalance A),1,B_2PatNorm_1AlexAnx,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1706885348005,02/02/2024 14:49:08,1706867348005,-5,02/02/2024 04:49:08,163181,2,task-5xl3,,34735744,2h6x7m5l,10270008,,complete,ypnxyp,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,BA,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1706885359433,02/02/2024 14:49:19,1706867359433,-5,02/02/2024 04:49:19,163181,2,task-5xl3,,34735744,2h6x7m5l,10270008,,complete,ypnxyp,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,BA,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,11442.7,11428.900000000001,11442.7,11442.7,11428.900000000001,11442.7,1,11442.7,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1706885359437,02/02/2024 14:49:19,1706867359437,-5,02/02/2024 04:49:19,163181,2,task-5xl3,,34735744,2h6x7m5l,10270008,,complete,ypnxyp,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 121.0.0.0,1440x900,1440x813,,,0,Task (Counterbalance A),1,B_1AlexAnx_2PatNorm,BA,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
