Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1688476693145,04/07/2023 13:18:13,1688480293145,1,04/07/2023 15:18:13,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x951,,Task,10,CAB,1,chat1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1688476741982,04/07/2023 13:19:01,1688480341982,1,04/07/2023 15:19:01,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,1,chat1,Screen 2,66299v,1,continue,,48830,48830,48830,48830,48830,48830,1,48830,0,0,,Click To Continue,Continue Button,2,object-63,chat1,
3,1688477341968,04/07/2023 13:29:01,1688480941968,1,04/07/2023 15:29:01,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,1,chat1,Screen 1,qf5pcz,2,timedOut,,600004,600002,600004,600004,600002,600004,1,600004,0,0,,Time Limit,screen,0,screen,chat1,
4,1688477378270,04/07/2023 13:29:38,1688480978270,1,04/07/2023 15:29:38,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,continue,,36300,36300,36300,36300,36300,36300,1,36300,0,0,,Click To Continue,Continue Button,7,object-28,ratings1,
5,1688477378272,04/07/2023 13:29:38,1688480978272,1,04/07/2023 15:29:38,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,67,26901,36300,36300,26901,36300,36300,1,26901,9399,0,,Slider,Keyboard Response,1,object-16,ratings1,
6,1688477378273,04/07/2023 13:29:38,1688480978273,1,04/07/2023 15:29:38,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,98,28550,36300,36300,28550,36300,36300,1,28550,7750,0,,Slider,,2,object-17,ratings1,
7,1688477378273,04/07/2023 13:29:38,1688480978273,1,04/07/2023 15:29:38,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,1,ratings1,Screen 1,za48ma,1,response,83,32284,36300,36300,32284,36300,36300,1,32284,4016,0,,Slider,,6,object-21,ratings1,
8,1688477378274,04/07/2023 13:29:38,1688480978274,1,04/07/2023 15:29:38,132936,8,task-keg8,,30473085,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat1,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
