"Participant.Private.ID","Participant.Status","gorillaExp","arm","Question.Key","Response","order","chatType","question","chat_condition","questionFull"
11566193,"complete","A","A_2PatInt_1AlexExt","enjoy-pat-quantised","4","Introvert first","Introvert","enjoy","pat_int","I enjoyed our <br>conversation"
11566193,"complete","A","A_2PatInt_1AlexExt","enjoy-alex-quantised","5","Introvert first","Extrovert","enjoy","pat_int","I enjoyed our <br>conversation"
11566193,"complete","A","A_2PatInt_1AlexExt","distant-pat-quantised","2","Introvert first","Introvert","distant","pat_int","I felt distant <br>from them"
11566193,"complete","A","A_2PatInt_1AlexExt","distant-alex-quantised","1","Introvert first","Extrovert","distant","pat_int","I felt distant <br>from them"
11566193,"complete","A","A_2PatInt_1AlexExt","understood-pat-quantised","5","Introvert first","Introvert","understood","pat_int","I felt that <br>they understood me"
11566193,"complete","A","A_2PatInt_1AlexExt","understood-alex-quantised","5","Introvert first","Extrovert","understood","pat_int","I felt that <br>they understood me"
11566193,"complete","A","A_2PatInt_1AlexExt","different-pat-quantised","2","Introvert first","Introvert","different","pat_int","I felt that they were <br>different from me"
11566193,"complete","A","A_2PatInt_1AlexExt","different-alex-quantised","1","Introvert first","Extrovert","different","pat_int","I felt that they were <br>different from me"
11566193,"complete","A","A_2PatInt_1AlexExt","chat-again-pat-quantised","5","Introvert first","Introvert","chat-again","pat_int","I would chat <br>with them again"
11566193,"complete","A","A_2PatInt_1AlexExt","chat-again-alex-quantised","5","Introvert first","Extrovert","chat-again","pat_int","I would chat <br>with them again"
