Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1733419421394,05/12/2024 17:23:41,1733401421394,-5,05/12/2024 07:23:41,183710,9,questionnaire-7y3d,,41832990,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1733419426095,05/12/2024 17:23:46,1733401426095,-5,05/12/2024 07:23:46,183710,9,questionnaire-7y3d,,41832990,BLIND,12218235,,complete,oyzwsr,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 128.0.0.0,1440x900,1440x812,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,4689,,,,
1,1733421345360,05/12/2024 17:55:45,1733396145360,-7,05/12/2024 03:55:45,183710,9,questionnaire-7y3d,,41835553,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1733421349664,05/12/2024 17:55:49,1733396149664,-7,05/12/2024 03:55:49,183710,9,questionnaire-7y3d,,41835553,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,4293,,,,
1,1733423729851,05/12/2024 18:35:29,1733405729851,-5,05/12/2024 08:35:29,183710,9,questionnaire-7y3d,,41836693,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1733423738510,05/12/2024 18:35:38,1733405738510,-5,05/12/2024 08:35:38,183710,9,questionnaire-7y3d,,41836693,BLIND,12219557,,complete,rcmzmw,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1536x864,1323x820,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,8643,,,,
1,1733427480806,05/12/2024 19:38:00,1733409480806,-5,05/12/2024 09:38:00,183710,9,questionnaire-7y3d,,41838535,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,BEGIN,,,,,
2,1733427496453,05/12/2024 19:38:16,1733409496453,-5,05/12/2024 09:38:16,183710,9,questionnaire-7y3d,,41838535,BLIND,12219667,,complete,fpdwgo,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1920x1080,1920x969,,,0,Debrief,1,B_1PatExt_2AlexInt,,,,,info,,END,15625,,,,
1,1733429947256,05/12/2024 20:19:07,1733411947256,-5,05/12/2024 10:19:07,183710,9,questionnaire-7y3d,,41839644,BLIND,12220463,,complete,jlaguh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,BEGIN,,,,,
2,1733429955048,05/12/2024 20:19:15,1733411955048,-5,05/12/2024 10:19:15,183710,9,questionnaire-7y3d,,41839644,BLIND,12220463,,complete,jlaguh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1920x911,,,0,Debrief,1,B_2AlexInt_1PatExt,,,,,info,,END,7783,,,,
END OF FILE
