Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,Randomise questionnaire elements?,Question Key,Response
1,1733421237590,05/12/2024 17:53:57,1733421236707,-7,05/12/2024 10:53:56,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1873x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,BEGIN QUESTIONNAIRE,
2,1733421339114,05/12/2024 17:55:39,1733421338255,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-1,Agree a little
3,1733421339289,05/12/2024 17:55:39,1733421338256,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-1-quantised,4
4,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-2,Disagree strongly
5,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-2-quantised,1
6,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-3,Agree strongly
7,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-3-quantised,5
8,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-4,Disagree strongly
9,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-4-quantised,1
10,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-5,Agree strongly
11,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-5-quantised,5
12,1733421339289,05/12/2024 17:55:39,1733421338257,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-6,Agree a little
13,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-6-quantised,4
14,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-7,Agree strongly
15,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-7-quantised,5
16,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-8,Disagree strongly
17,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-8-quantised,1
18,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-9,Agree strongly
19,1733421339289,05/12/2024 17:55:39,1733421338258,-7,05/12/2024 10:55:38,183710,9,questionnaire-cq39,,41835505,BLIND,12219352,,complete,ndnbrh,,computer,Desktop or Laptop,Windows 10,Chrome 131.0.0.0,1920x1080,1856x913,,,,BFI44,3,B_1PatExt_2AlexInt,No,response-9-quantised,5
