Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1705416625795,16/01/2024 14:50:25,1705398625795,-5,16/01/2024 04:50:25,154938,3,task-ozk2,,34254060,lwowyaqe,10117150,,complete,gxslbj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1628x916,1629x754,,,0,Task,2,BA,1,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416637084,16/01/2024 14:50:37,1705398637084,-5,16/01/2024 04:50:37,154938,3,task-ozk2,,34254060,lwowyaqe,10117150,,complete,gxslbj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1628x916,1629x754,,,0,Task,2,BA,1,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,11307.400000000745,11295.4,11307.400000000745,11307.400000000745,11295.4,11307.400000000745,1,11307.400000000745,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416637090,16/01/2024 14:50:37,1705398637090,-5,16/01/2024 04:50:37,154938,3,task-ozk2,,34254060,lwowyaqe,10117150,,complete,gxslbj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1628x916,1629x754,,,0,Task,2,BA,1,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416638381,16/01/2024 14:50:38,1705395038381,-6,16/01/2024 02:50:38,154938,3,task-ozk2,,34254073,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416658597,16/01/2024 14:50:58,1705395058597,-6,16/01/2024 02:50:58,154938,3,task-ozk2,,34254073,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,20229.56,20215.4,20229.56,20229.56,20215.4,20229.56,1,20229.56,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416658615,16/01/2024 14:50:58,1705395058615,-6,16/01/2024 02:50:58,154938,3,task-ozk2,,34254073,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Task,2,AB,2,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416648978,16/01/2024 14:50:48,1705398648978,-5,16/01/2024 04:50:48,154938,3,task-ozk2,,34254080,ok30b186,10117146,,complete,hpqlbf,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Task,2,BA,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1705416669724,16/01/2024 14:51:09,1705398669724,-5,16/01/2024 04:51:09,154938,3,task-ozk2,,34254080,ok30b186,10117146,,complete,hpqlbf,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Task,2,BA,2,intro,intro,1,introduction,Screen 1,kjt9m9,1,continue,,24788.596,24771.931,24788.596,24788.596,24771.931,24788.596,1,24788.596,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1705416669744,16/01/2024 14:51:09,1705398669744,-5,16/01/2024 04:51:09,154938,3,task-ozk2,,34254080,ok30b186,10117146,,complete,hpqlbf,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Task,2,BA,2,intro,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1705416677715,16/01/2024 14:51:17,1705398677715,-5,16/01/2024 04:51:17,154938,3,task-ozk2,,34254106,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Task,2,AB,2,intro,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
