Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1705418578917,16/01/2024 15:22:58,1705400578917,-5,16/01/2024 05:22:58,154938,3,questionnaire-ptwy,,34255604,njhwf0kw,10117165,,complete,phxfmn,,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 118.0.0.0,1138x639,1264x711,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1705418575602,16/01/2024 15:22:55,1705396975602,-6,16/01/2024 03:22:55,154938,3,questionnaire-ptwy,,34255630,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Debrief,3,AB,2,,,,,5,,BEGIN,,,,,
2,1705418584015,16/01/2024 15:23:04,1705396984015,-6,16/01/2024 03:23:04,154938,3,questionnaire-ptwy,,34255630,xp6ywdfs,10117154,,complete,ktjyjp,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 120.0,1680x1050,1680x938,,,0,Debrief,3,AB,2,,,,,5,,END,,,,,
1,1705418592156,16/01/2024 15:23:12,1705400592156,-5,16/01/2024 05:23:12,154938,3,questionnaire-ptwy,,34255651,u2n22pjo,10117181,,complete,boznxl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1200,1271x913,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
2,1705418597404,16/01/2024 15:23:17,1705400597404,-5,16/01/2024 05:23:17,154938,3,questionnaire-ptwy,,34255651,u2n22pjo,10117181,,complete,boznxl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1920x1200,1271x913,,,0,Debrief,3,BA,2,,,,,5,,END,,,,,
1,1705418712662,16/01/2024 15:25:12,1705389912662,-8,15/01/2024 23:25:12,154938,3,questionnaire-ptwy,,34255822,yh19xw9h,10117148,,complete,exuhkl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1080,2560x919,,,0,Debrief,3,AB,1,,,,,5,,BEGIN,,,,,
2,1705418717175,16/01/2024 15:25:17,1705389917175,-8,15/01/2024 23:25:17,154938,3,questionnaire-ptwy,,34255822,yh19xw9h,10117148,,complete,exuhkl,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,2560x1080,2560x919,,,0,Debrief,3,AB,1,,,,,5,,END,,,,,
1,1705418720512,16/01/2024 15:25:20,1705397120512,-6,16/01/2024 03:25:20,154938,3,questionnaire-ptwy,,34255834,wcj9zylk,10117189,,complete,qnwaem,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1920x947,,,0,Debrief,3,BA,1,,,,,5,,BEGIN,,,,,
2,1705418738496,16/01/2024 15:25:38,1705397138496,-6,16/01/2024 03:25:38,154938,3,questionnaire-ptwy,,34255834,wcj9zylk,10117189,,complete,qnwaem,,computer,Desktop or Laptop,Windows 10,Firefox 121.0,1920x1080,1920x947,,,0,Debrief,3,BA,1,,,,,5,,END,,,,,
1,1705418744169,16/01/2024 15:25:44,1705400744169,-5,16/01/2024 05:25:44,154938,3,questionnaire-ptwy,,34255855,27x8i5py,10117196,,complete,srdufa,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1536x960,1536x791,,,0,Debrief,3,BA,2,,,,,5,,BEGIN,,,,,
