Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
4,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2,Agree
5,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2-quantised,4
6,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5,Disagree
7,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5-quantised,2
8,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3,Agree
9,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3-quantised,4
10,1693146742110,27/08/2023 14:32:22,1693153888769,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6,Disagree
11,1693146742110,27/08/2023 14:32:22,1693153888770,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6-quantised,2
12,1693146742110,27/08/2023 14:32:22,1693153888770,-7,27/08/2023 09:31:28,132936,11,questionnaire-mkoe,,31381965,BLIND,9294896,,complete,uvuanf,,computer,Desktop or Laptop,Windows 10,Chrome 113.0.0.0,1920x1080,1920x1007,,,,Individual Bot Questionnaire,2,CAB,1,No,END QUESTIONNAIRE,9909
1,1693150571999,27/08/2023 15:36:11,1693150571915,-4,27/08/2023 11:36:11,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,BEGIN QUESTIONNAIRE,
2,1693150585830,27/08/2023 15:36:25,1693150585753,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-1,Neutral
3,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-1-quantised,3
4,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2,Neutral
5,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-2-quantised,3
6,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5,Disagree
7,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-5-quantised,2
8,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3,Agree
9,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-3-quantised,4
10,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6,Agree
11,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,response-6-quantised,4
12,1693150585988,27/08/2023 15:36:25,1693150585755,-4,27/08/2023 11:36:25,132936,11,questionnaire-mkoe,,31382288,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,,Individual Bot Questionnaire,2,CAB,1,No,END QUESTIONNAIRE,13840
END OF FILE
