Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
3,1693173374215,27/08/2023 21:56:14,1693148174215,-7,27/08/2023 07:56:14,132936,11,task-l2e9,,31382066,BLIND,9294939,,complete,rmiwzn,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,1537x732,1536x726,,,0,Task,15,BCA,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693164405540,27/08/2023 19:26:45,1693150005540,-4,27/08/2023 11:26:45,132936,11,task-l2e9,,31382232,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693164416062,27/08/2023 19:26:56,1693150016062,-4,27/08/2023 11:26:56,132936,11,task-l2e9,,31382232,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,intro,1,introduction,Screen 1,kjt9m9,1,continue,,10537.754999809265,10528.498,10537.754999809265,10537.754999809265,10528.498,10537.754999809265,1,10537.754999809265,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693164416066,27/08/2023 19:26:56,1693150016066,-4,27/08/2023 11:26:56,132936,11,task-l2e9,,31382232,BLIND,9294978,,complete,nucjme,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 116.0.0.0,1440x900,1440x815,,,0,Task,15,CAB,1,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693167257190,27/08/2023 20:14:17,1693152857190,-4,27/08/2023 12:14:17,132936,11,task-l2e9,,31382522,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,Task,15,ABC,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693167270269,27/08/2023 20:14:30,1693152870269,-4,27/08/2023 12:14:30,132936,11,task-l2e9,,31382522,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,Task,15,ABC,2,intro,1,introduction,Screen 1,kjt9m9,1,continue,,13086.42199999553,13083.097,13086.42199999553,13086.42199999553,13083.097,13086.42199999553,1,13086.42199999553,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693167270271,27/08/2023 20:14:30,1693152870271,-4,27/08/2023 12:14:30,132936,11,task-l2e9,,31382522,BLIND,9295046,,complete,aasbyh,,computer,Desktop or Laptop,Windows 10,Chrome 116.0.0.0,2560x1440,983x957,,,0,Task,15,ABC,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
1,1693169500026,27/08/2023 20:51:40,1693155100026,-4,27/08/2023 12:51:40,132936,11,task-l2e9,,31382704,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Task,15,BCA,2,intro,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1693169513258,27/08/2023 20:51:53,1693155113258,-4,27/08/2023 12:51:53,132936,11,task-l2e9,,31382704,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Task,15,BCA,2,intro,1,introduction,Screen 1,kjt9m9,1,continue,,13282.720999999996,13266.055999999999,13282.720999999996,13282.720999999996,13266.055999999999,13282.720999999996,1,13282.720999999996,0,0,,Click To Continue,Continue Button,2,object-9,introduction,
3,1693169513286,27/08/2023 20:51:53,1693155113286,-4,27/08/2023 12:51:53,132936,11,task-l2e9,,31382704,BLIND,9295082,,complete,yxyukr,,computer,Desktop or Laptop,Chromium OS 14816.131.0,Chrome 103.0.0.0,1366x768,1366x649,,,0,Task,15,BCA,2,intro,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
