Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-czhu,order-m1q4,Randomise questionnaire elements?,Question Key,Response
1,1706884932196,02/02/2024 14:42:12,1706884932142,-5,02/02/2024 09:42:12,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1458x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,BEGIN QUESTIONNAIRE,
2,1706885028007,02/02/2024 14:43:48,1706885027987,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,similar-alex,Disagree
3,1706885028171,02/02/2024 14:43:48,1706885027989,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,similar-alex-quantised,2
4,1706885028171,02/02/2024 14:43:48,1706885027989,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,similar-pat,Agree
5,1706885028171,02/02/2024 14:43:48,1706885027989,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,similar-pat-quantised,4
6,1706885028171,02/02/2024 14:43:48,1706885027989,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,enjoy-alex,Disagree
7,1706885028171,02/02/2024 14:43:48,1706885027989,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,enjoy-alex-quantised,2
8,1706885028171,02/02/2024 14:43:48,1706885027989,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,enjoy-pat,Agree
9,1706885028171,02/02/2024 14:43:48,1706885027990,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,enjoy-pat-quantised,4
10,1706885028171,02/02/2024 14:43:48,1706885027990,-5,02/02/2024 09:43:47,163181,2,questionnaire-wcll,,34735383,BLIND,10269353,,complete,ugycyj,,computer,Desktop or Laptop,Windows 10,Chrome 120.0.0.0,1093x615,1435x704,,,,Overall Bot Questionnaire: Alex then Pat,1,B_1AlexAnx_2PatNorm,BA,No,distant-alex,Agree
