Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,order-iuov,randomiser-bl99,Randomise questionnaire elements?,Question Key,Response
1,1705417987998,16/01/2024 15:13:07,1705417986539,-5,16/01/2024 10:13:06,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1920x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,BEGIN QUESTIONNAIRE,
2,1705418498361,16/01/2024 15:21:38,1705418496540,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,similar-pat,Agree
3,1705418498514,16/01/2024 15:21:38,1705418496541,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,similar-pat-quantised,4
4,1705418498514,16/01/2024 15:21:38,1705418496541,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,similar-alex,Neutral
5,1705418498514,16/01/2024 15:21:38,1705418496541,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,similar-alex-quantised,3
6,1705418498514,16/01/2024 15:21:38,1705418496541,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,enjoy-pat,Agree
7,1705418498514,16/01/2024 15:21:38,1705418496541,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,enjoy-pat-quantised,4
8,1705418498514,16/01/2024 15:21:38,1705418496542,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,enjoy-alex,Disagree
9,1705418498514,16/01/2024 15:21:38,1705418496542,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,enjoy-alex-quantised,2
10,1705418498514,16/01/2024 15:21:38,1705418496542,-5,16/01/2024 10:21:36,154938,3,questionnaire-gbf9,,34254836,BLIND,10117128,,complete,bfekng,,computer,Desktop or Laptop,Windows 10,Chrome 121.0.0.0,1920x1080,1903x963,,,,Overall Bot Questionnaire: Pat(2) then Alex(1),1,BA,2,No,distant-pat,Disagree
