"participant_ID","botcondition","bots_Mixed","bots_Negative","bots_Neutral","bots_Positive","bots_mean_words","user_Mixed","user_Negative","user_Neutral","user_Positive","user_mean_words","user_mean_rt","num_interactions","gpt_user_mirror","user_gpt_mirror"
95626,"neutral",1,0,18,7,19.6923076923077,0,1,23,2,8.07692307692308,NA,26,0.730769230769231,0.72
38166,"neutral",2,0,11,13,47.4615384615385,5,1,14,6,22.6538461538462,NA,26,0.461538461538462,0.6
47891,"neutral",2,1,12,11,27.0769230769231,3,1,14,8,17.9615384615385,NA,26,0.423076923076923,0.6
56038,"neutral",3,0,8,15,32.8846153846154,8,0,5,13,13.6923076923077,NA,26,0.423076923076923,0.6
63172,"neutral",2,0,13,11,44.6153846153846,4,0,15,7,42.8076923076923,NA,26,0.384615384615385,0.36
85519,"neutral",2,0,6,18,29.6153846153846,2,0,5,19,25,NA,26,0.846153846153846,0.76
41827,"neutral",0,0,9,17,15,0,0,15,11,4.07692307692308,NA,26,0.384615384615385,0.52
38027,"neutral",6,2,11,7,38.5,3,9,12,2,8.30769230769231,NA,26,0.192307692307692,0.36
23397,"neutral",7,0,12,7,38.1923076923077,5,1,15,5,10.6923076923077,NA,26,0.5,0.56
90577,"neutral",5,0,5,16,33.3461538461538,3,0,11,12,28.5384615384615,NA,26,0.615384615384615,0.52
15183,"neutral",5,0,13,8,31.6538461538462,6,0,18,2,8.57692307692308,NA,26,0.461538461538462,0.56
51961,"neutral",6,0,5,15,36.3461538461538,5,0,8,13,24.3461538461538,NA,26,0.538461538461538,0.68
17237,"neutral",3,0,8,15,27.0384615384615,0,0,20,6,11.5,NA,26,0.307692307692308,0.44
36243,"neutral",5,0,12,9,42.7307692307692,6,1,14,5,21.7692307692308,NA,26,0.384615384615385,0.64
89173,"neutral",5,0,12,9,35.2307692307692,2,4,16,4,13.2307692307692,NA,26,0.461538461538462,0.48
17100,"neutral",9,0,5,12,29.8076923076923,6,1,9,10,14.8846153846154,NA,26,0.269230769230769,0.4
20579,"neutral",6,0,13,7,35.5,9,4,11,2,16.2307692307692,NA,26,0.230769230769231,0.36
34694,"neutral",6,1,10,9,36.5,4,5,10,7,17.9230769230769,NA,26,0.423076923076923,0.4
75922,"neutral",4,0,7,15,31.3076923076923,2,0,14,10,11.4615384615385,NA,26,0.5,0.52
61921,"neutral",2,0,14,10,35.8076923076923,4,2,12,8,13.8076923076923,NA,26,0.538461538461538,0.6
61627,"neutral",5,0,6,15,30.0384615384615,4,0,12,10,16.2307692307692,NA,26,0.5,0.64
45547,"neutral",2,0,6,18,30.4230769230769,3,0,16,7,17,NA,26,0.461538461538462,0.44
85783,"neutral",6,0,12,8,47.5,14,1,6,5,29,NA,26,0.346153846153846,0.4
78198,"neutral",12,2,7,5,42.5769230769231,8,5,8,5,26.5384615384615,NA,26,0.307692307692308,0.52
38159,"neutral",5,0,12,9,39.1923076923077,2,1,15,8,15.5769230769231,NA,26,0.423076923076923,0.6
41107,"neutral",4,0,7,15,25.5,3,1,13,9,14.8461538461538,NA,26,0.461538461538462,0.48
16193,"neutral",7,1,13,5,39.3076923076923,1,0,22,3,17.6153846153846,NA,26,0.576923076923077,0.52
79527,"neutral",1,0,12,13,29.8076923076923,1,1,18,6,9.73076923076923,NA,26,0.461538461538462,0.44
63489,"neutral",6,0,17,3,34.9615384615385,3,3,18,2,10.5,NA,26,0.461538461538462,0.52
81014,"neutral",6,1,9,10,43.3846153846154,8,2,14,2,21.8846153846154,NA,26,0.230769230769231,0.48
81447,"neutral",2,0,16,8,30.6923076923077,0,2,18,6,6.84615384615385,NA,26,0.5,0.56
74675,"neutral",4,0,12,10,37.5384615384615,4,2,14,6,8.15384615384615,NA,26,0.384615384615385,0.64
19104,"neutral",8,0,14,4,43.1923076923077,6,2,15,3,14.9615384615385,NA,26,0.423076923076923,0.56
20964,"neutral",4,2,12,8,32.7692307692308,2,5,16,3,10.0384615384615,NA,26,0.461538461538462,0.52
36958,"neutral",1,0,11,14,24,0,1,17,8,4.53846153846154,NA,26,0.423076923076923,0.44
21329,"neutral",3,0,8,15,31.2692307692308,5,0,12,9,22.6538461538462,NA,26,0.576923076923077,0.48
59039,"neutral",1,0,9,16,38.1153846153846,3,0,12,11,17.1923076923077,NA,26,0.423076923076923,0.6
88047,"neutral",7,0,7,12,37.8846153846154,7,0,10,9,22.6153846153846,NA,26,0.384615384615385,0.52
25408,"neutral",8,0,12,6,44.4615384615385,12,4,8,2,36.4230769230769,NA,26,0.307692307692308,0.48
87784,"neutral",1,0,16,9,42.2307692307692,0,0,25,1,21.3846153846154,NA,26,0.576923076923077,0.56
61779,"neutral",4,1,13,8,37.4615384615385,6,6,12,2,19.1538461538462,NA,26,0.153846153846154,0.32
22532,"neutral",5,0,8,13,44.2307692307692,4,3,14,5,15.1923076923077,NA,26,0.384615384615385,0.4
44697,"neutral",5,0,12,9,33.0384615384615,4,0,18,4,10.4230769230769,NA,26,0.5,0.52
84742,"neutral",2,0,11,13,45.8076923076923,2,1,12,11,18.5384615384615,NA,26,0.5,0.6
40254,"neutral",3,0,5,18,31.6153846153846,4,0,18,4,12.5,NA,26,0.230769230769231,0.4
96650,"neutral",8,0,8,10,37.5,10,2,13,1,27.4230769230769,NA,26,0.384615384615385,0.48
45555,"neutral",11,1,9,5,43.1153846153846,12,2,11,1,35.9230769230769,NA,26,0.5,0.64
27387,"neutral",4,0,10,12,36.7692307692308,4,1,14,7,21.5769230769231,NA,26,0.230769230769231,0.68
55041,"neutral",2,0,9,15,31.0769230769231,1,0,16,9,9.38461538461539,NA,26,0.615384615384615,0.6
29967,"neutral",2,0,8,16,37.6538461538462,2,0,11,13,25.4615384615385,NA,26,0.423076923076923,0.52
54428,"neutral",3,0,10,13,32.4615384615385,6,0,16,4,17.8076923076923,NA,26,0.384615384615385,0.52
17719,"neutral",6,0,10,10,45.8846153846154,3,0,11,12,61.1538461538462,NA,26,0.5,0.48
44491,"neutral",3,0,4,19,31.1538461538462,5,0,13,8,12,NA,26,0.346153846153846,0.32
94585,"neutral",1,0,10,15,32.3076923076923,2,2,16,6,10,NA,26,0.5,0.48
85044,"neutral",3,0,5,18,50.0384615384615,4,0,14,8,28.9615384615385,NA,26,0.423076923076923,0.36
48329,"neutral",3,0,3,20,39.3846153846154,4,2,11,9,11.4230769230769,NA,26,0.153846153846154,0.32
99556,"neutral",2,0,10,14,30.0384615384615,3,0,16,7,7.57692307692308,NA,26,0.538461538461538,0.48
70170,"neutral",3,0,8,15,36.1153846153846,1,1,22,2,7.42307692307692,NA,26,0.192307692307692,0.16
91450,"neutral",4,0,12,12,30.5357142857143,1,0,19,8,10.2857142857143,NA,28,0.357142857142857,0.703703703703704
66047,"neutral",6,0,4,16,37.8076923076923,4,1,18,3,14.7307692307692,NA,26,0.115384615384615,0.36
77269,"neutral",1,0,6,19,42.5,9,0,12,5,26.7692307692308,NA,26,0.346153846153846,0.4
26279,"neutral",1,0,7,18,36.5384615384615,4,2,15,5,11.3076923076923,NA,26,0.346153846153846,0.4
50159,"neutral",3,0,6,17,41.7307692307692,7,0,9,10,18.5769230769231,NA,26,0.346153846153846,0.6
25219,"neutral",5,0,2,19,40.6923076923077,6,0,7,13,28.6538461538462,NA,26,0.615384615384615,0.6
59977,"neutral",3,0,4,19,43.8076923076923,5,2,9,10,25.1153846153846,NA,26,0.423076923076923,0.44
74620,"neutral",8,0,3,15,42.8461538461538,11,0,9,6,32.6538461538462,NA,26,0.307692307692308,0.44
33201,"neutral",6,0,14,6,49.1538461538462,0,2,24,0,5.88461538461539,NA,26,0.5,0.48
14350,"neutral",2,0,6,18,27.6923076923077,3,0,13,10,18.4615384615385,NA,26,0.461538461538462,0.48
19479,"neutral",2,0,2,22,42.3461538461538,5,0,6,15,34.0769230769231,NA,26,0.653846153846154,0.52
54819,"neutral",2,0,4,20,36.0769230769231,1,1,12,12,33.8076923076923,NA,26,0.461538461538462,0.52
37491,"neutral",4,0,2,20,40.5384615384615,3,0,11,12,28.8461538461538,NA,26,0.5,0.56
70740,"neutral",3,0,6,17,39.1153846153846,8,0,9,9,20.1923076923077,NA,26,0.230769230769231,0.52
81586,"neutral",3,0,3,20,43.8461538461538,4,0,10,12,36.9230769230769,NA,26,0.615384615384615,0.6
93361,"neutral",6,0,2,18,46.2692307692308,9,0,5,12,47.4230769230769,NA,26,0.653846153846154,0.52
96556,"neutral",2,0,11,13,37.5384615384615,4,0,17,5,13.5,NA,26,0.384615384615385,0.56
92751,"neutral",1,0,10,15,32.3076923076923,0,1,17,8,4.57692307692308,NA,26,0.538461538461538,0.6
32728,"neutral",3,0,6,17,36.0769230769231,3,1,15,7,19.8076923076923,NA,26,0.384615384615385,0.4
56991,"neutral",2,0,4,20,40.6153846153846,7,2,12,5,28.5384615384615,NA,26,0.269230769230769,0.32
58975,"neutral",3,0,2,21,46.3461538461538,7,0,7,12,35.1538461538462,NA,26,0.307692307692308,0.48
17494,"neutral",1,0,7,18,42.5384615384615,1,2,17,6,10.5769230769231,NA,26,0.423076923076923,0.28
67891,"neutral",5,0,2,19,41.8461538461538,4,0,9,13,24.8461538461538,NA,26,0.538461538461538,0.6
19240,"neutral",11,0,8,7,51,7,2,15,2,38.7307692307692,NA,26,0.346153846153846,0.44
93782,"neutral",2,0,6,18,37.5,6,1,7,12,17.0769230769231,NA,26,0.615384615384615,0.48
82433,"neutral",3,0,5,18,33.8461538461538,3,1,16,6,17.4615384615385,NA,26,0.384615384615385,0.32
44870,"neutral",6,0,12,8,35.1153846153846,3,4,18,1,12.3846153846154,NA,26,0.423076923076923,0.44
50541,"neutral",5,1,11,9,36.7692307692308,1,3,21,1,6.92307692307692,NA,26,0.346153846153846,0.24
79005,"neutral",3,0,6,17,31.6923076923077,0,2,17,7,4.19230769230769,NA,26,0.346153846153846,0.4
75552,"neutral",6,0,13,7,58.8076923076923,3,2,21,0,28.4230769230769,NA,26,0.5,0.52
81111,"neutral",3,0,5,18,32.4615384615385,6,0,11,9,13.0769230769231,NA,26,0.423076923076923,0.44
68822,"neutral",3,0,5,18,38.1538461538462,6,0,6,14,21.6538461538462,NA,26,0.423076923076923,0.6
80875,"neutral",5,0,5,16,37.7307692307692,4,0,7,15,25.5,NA,26,0.576923076923077,0.44
93033,"neutral",6,0,12,8,55.7307692307692,0,0,25,1,20.2307692307692,NA,26,0.461538461538462,0.48
85343,"neutral",2,0,2,22,48.3846153846154,8,2,2,14,56.8076923076923,NA,26,0.538461538461538,0.6
99790,"neutral",2,0,5,19,43.2307692307692,8,0,9,9,30.4615384615385,NA,26,0.269230769230769,0.4
87601,"neutral",5,0,4,17,37.7692307692308,8,1,4,13,15.3076923076923,NA,26,0.538461538461538,0.64
74198,"neutral",8,0,9,9,48.3076923076923,10,3,9,4,23.7692307692308,NA,26,0.384615384615385,0.52
67439,"neutral",2,0,6,18,41.2692307692308,3,1,17,5,20.6538461538462,NA,26,0.269230769230769,0.44
55009,"neutral",10,0,9,7,49.0769230769231,5,7,12,2,25.5384615384615,NA,26,0.307692307692308,0.4
49650,"neutral",0,0,7,19,43.2307692307692,5,0,11,10,15.0769230769231,NA,26,0.5,0.56
61621,"neutral",0,0,3,23,37.1538461538462,0,0,12,14,14,NA,26,0.653846153846154,0.56
93300,"neutral",9,0,9,8,48.1538461538462,18,0,5,3,47.1923076923077,NA,26,0.346153846153846,0.4
86866,"neutral",6,0,13,7,43.5384615384615,6,1,17,2,16.0769230769231,NA,26,0.307692307692308,0.44
75715,"neutral",4,0,10,12,30.6153846153846,1,2,20,3,7.53846153846154,NA,26,0.461538461538462,0.32
76190,"neutral",8,0,3,15,60.4615384615385,15,2,5,4,56.5384615384615,NA,26,0.346153846153846,0.4
