"participant_ID","botcondition","bots_Mixed","bots_Negative","bots_Neutral","bots_Positive","bots_mean_words","user_Mixed","user_Negative","user_Neutral","user_Positive","user_mean_words","user_mean_rt","num_interactions","gpt_user_mirror","user_gpt_mirror"
88147,"mirror",1,0,4,21,31.0384615384615,2,2,13,9,7.15384615384615,NA,26,0.384615384615385,0.36
76134,"mirror",14,0,11,1,39.9615384615385,10,2,9,5,28.9230769230769,NA,26,0.346153846153846,0.52
74568,"mirror",6,0,2,18,39.8846153846154,9,0,9,8,19.1538461538462,NA,26,0.346153846153846,0.48
88009,"mirror",6,0,6,14,40.5384615384615,3,1,17,5,6.26923076923077,NA,26,0.269230769230769,0.24
83220,"mirror",8,0,11,7,37.8846153846154,3,1,20,2,17.6153846153846,NA,26,0.384615384615385,0.36
10345,"mirror",1,0,1,24,52.8076923076923,4,0,16,6,18.6538461538462,NA,26,0.269230769230769,0.24
59741,"mirror",5,1,14,6,37.2307692307692,3,3,18,2,5.61538461538461,NA,26,0.538461538461538,0.52
82305,"mirror",5,0,17,4,39.5384615384615,5,1,15,5,24.0769230769231,NA,26,0.576923076923077,0.64
91981,"mirror",1,0,6,19,47.4230769230769,2,0,19,5,18.8461538461538,NA,26,0.461538461538462,0.36
44256,"mirror",6,0,5,15,32,3,2,17,4,8.73076923076923,NA,26,0.307692307692308,0.36
26586,"mirror",4,0,4,18,32.3076923076923,4,0,11,11,29.1538461538462,NA,26,0.423076923076923,0.52
83111,"mirror",5,1,10,10,37.7692307692308,2,6,12,6,7.42307692307692,NA,26,0.307692307692308,0.52
29239,"mirror",13,6,4,3,54.6923076923077,11,8,7,0,28.7307692307692,NA,26,0.423076923076923,0.44
29937,"mirror",4,0,12,10,31.4230769230769,3,0,15,8,10.5384615384615,NA,26,0.576923076923077,0.44
98860,"mirror",2,0,6,18,37.3076923076923,0,0,20,6,14.1153846153846,NA,26,0.346153846153846,0.44
46509,"mirror",0,0,3,23,31.9615384615385,2,0,15,9,13.2692307692308,NA,26,0.461538461538462,0.4
41227,"mirror",17,5,1,3,41.4230769230769,1,6,16,3,8.5,NA,26,0.115384615384615,0.28
