Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-iuov,randomiser-bl99,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
1,1688477400665,04/07/2023 13:30:00,1688481000665,1,04/07/2023 15:30:00,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1688477402734,04/07/2023 13:30:02,1688481002734,1,04/07/2023 15:30:02,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,1,chat2,Screen 2,o6hbif,1,continue,,2865,2863,2865,2865,2863,2865,1,2865,0,0,,Click To Continue,Continue Button,2,object-67,chat2,
3,1688478002768,04/07/2023 13:40:02,1688481602768,1,04/07/2023 15:40:02,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,1,chat2,Screen 1,go9hgm,2,timedOut,,600004,600004,600004,600004,600004,600004,1,600004,0,0,,Time Limit,screen,0,screen,chat2,
4,1688478011873,04/07/2023 13:40:11,1688481611873,1,04/07/2023 15:40:11,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,1,ratings2,Screen 1,9n2rzw,1,continue,,9101,9099,9101,9101,9099,9101,1,9101,0,0,,Click To Continue,Continue Button,7,object-53,ratings2,
5,1688478011874,04/07/2023 13:40:11,1688481611874,1,04/07/2023 15:40:11,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,1,ratings2,Screen 1,9n2rzw,1,response,35,1866,9099,9103,1866,9099,9103,1,1866,7237,0,,Slider,Keyboard Response,1,object-47,ratings2,
6,1688478011874,04/07/2023 13:40:11,1688481611874,1,04/07/2023 15:40:11,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,1,ratings2,Screen 1,9n2rzw,1,response,38,3233,9099,9103,3233,9099,9103,1,3233,5870,0,,Slider,,2,object-48,ratings2,
7,1688478011874,04/07/2023 13:40:11,1688481611874,1,04/07/2023 15:40:11,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,1,ratings2,Screen 1,9n2rzw,1,response,32,7282,9099,9103,7282,9099,9103,1,7282,1821,0,,Slider,,6,object-52,ratings2,
8,1688478011875,04/07/2023 13:40:11,1688481611875,1,04/07/2023 15:40:11,132936,8,task-mrfa,,30473372,m6b7jn9o,9054340,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1792x1120,1791x1015,,Task,10,CAB,1,chat2,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
